Department,Job Role,Required Skills,Top Recruiters/Industries
Computer Science & Engineering,Software Developer/Engineer,"Java, Python, C++, JavaScript | Software design | Debugging | Problem-solving | Algorithms","Google, Microsoft, Amazon, TCS, Infosys, Wipro, Accenture"
Computer Science & Engineering,Data Scientist,"Python, R | Machine Learning frameworks (TensorFlow, PyTorch) | Data analysis | Statistics | Business acumen","Microsoft, Google, Amazon, Analytics companies"
Computer Science & Engineering,Cybersecurity Analyst,Ethical hacking | Network security | Cryptography | Risk management | Threat detection,"Cybersecurity firms, Banks, Government agencies"
Computer Science & Engineering,Cloud Computing Engineer,"AWS, Azure, GCP | Virtualization | Distributed computing | Networking | Container orchestration","AWS, Google Cloud, Microsoft Azure"
Computer Science & Engineering,Machine Learning Engineer,Machine Learning frameworks | Data preprocessing | Algorithm development | Mathematics | Statistics,"Google, Facebook, Microsoft, OpenAI"
Computer Science & Engineering,Full Stack Developer,"HTML, CSS, JavaScript, React | Node.js, Python | Databases (SQL, MongoDB) | Git version control","Tech startups, E-commerce, SaaS companies"
Computer Science & Engineering,DevOps Engineer,"Docker, Kubernetes, Jenkins | CI/CD pipelines | System administration | Linux | Monitoring tools","Tech companies, DevOps-focused firms"
Computer Science & Engineering,Database Administrator,"SQL, NoSQL databases | Data modeling | Query optimization | Database administration | Backup/recovery","Tech companies, Banking sector"
Computer Science & Engineering,Web Developer,"HTML, CSS, JavaScript | Frontend frameworks | Responsive design | UX/UI basics | Browser compatibility","Web development companies, Startups"
Computer Science & Engineering,Game Developer,"Game engines (Unity, Unreal) | C# or C++ | Physics | Graphics programming | Game design patterns","Game studios, Tech companies"
Computer Science & Engineering,AI Specialist,Deep Learning | Neural Networks | Computer Vision | Natural Language Processing | TensorFlow/PyTorch,"AI/ML startups, Tech giants"
Computer Science & Engineering,Business Analyst,"SQL | Excel, Power BI, Tableau | Business processes | Communication | Project management | JIRA","Tech companies, Consulting firms"
Mechanical Engineering,Design Engineer,"CAD software (SolidWorks, AutoCAD) | Blueprints and design | Simulation tools | Materials knowledge","Automotive (Maruti, Hyundai), Aerospace (HAL, Airbus)"
Mechanical Engineering,Robotics & Automation Engineer,PLC programming | Robotics | Control systems | Automation software | Kinematics & dynamics,"Robotics companies, Manufacturing firms"
Mechanical Engineering,R&D Engineer,CAD/CAM software | Prototyping | Materials science | Project management | Problem-solving,"R&D organizations, Manufacturing"
Mechanical Engineering,HVAC Engineer,HVAC systems | Thermodynamics | Heating/cooling principles | Energy efficiency | Technical drawings,"HVAC companies, Real estate"
Mechanical Engineering,Quality Control Engineer,Quality control tools | Statistical analysis | SPC | Problem-solving | Inspection procedures,"Manufacturing, Automotive"
Mechanical Engineering,Production Engineer,Manufacturing processes | CAD software | Quality standards | Process optimization | Equipment maintenance,"Manufacturing, Core industries"
Mechanical Engineering,Aerospace Engineer,Aerodynamics | Structural analysis | Propulsion systems | CAD/CAM | Physics & mathematics,"Defense, Aerospace (ISRO, DRDO, HAL)"
Mechanical Engineering,CAD/CAM Engineer,"CAD software (CATIA, SolidWorks) | 3D modeling | Simulation | Technical documentation","Manufacturing, Automotive"
Mechanical Engineering,Mechanical Design Engineer,CAD software | Design principles | Materials selection | Stress analysis | Physics,"Automotive, Aerospace"
Mechanical Engineering,Thermal Engineer,Thermodynamics | Heat transfer | HVAC systems | Simulation tools | Technical analysis,"Energy, Manufacturing"
Mechanical Engineering,Maintenance Engineer,Equipment maintenance | Troubleshooting | Technical drawing interpretation | Safety protocols,Maintenance-focused industries
Civil Engineering,Structural Engineer,Structural analysis software | CAD | Mathematics & physics | Building codes | Project management,"Construction companies, Real estate developers"
Civil Engineering,Project Manager,Project planning | Leadership | Cost management | Communication | Stakeholder management,"Infrastructure companies, Consulting"
Civil Engineering,Construction Engineer,Construction methods | Project management | Materials knowledge | Safety standards | Site coordination,"Construction firms, Project management"
Civil Engineering,Geotechnical Engineer,Soil mechanics | Geology | Foundation design | Geotechnical software | Risk assessment,"Dam, tunnel construction projects"
Civil Engineering,Transportation Engineer,Traffic analysis | Transportation planning | GIS software | Safety regulations | Design principles,"Transportation, Government (PWD)"
Civil Engineering,Environmental Engineer,Water treatment | Environmental regulations | Sustainability | Technical analysis | Problem-solving,"Construction, Infrastructure"
Civil Engineering,BIM Specialist,BIM software (Revit) | CAD | 3D modeling | Building documentation | Coordination,"BIM firms, Architects"
Civil Engineering,Quantity Surveyor,Quantity surveying | Cost estimation | Materials knowledge | Excel | Project billing,"Construction, Real estate"
Electrical Engineering,Power Systems Engineer,Power systems analysis | MATLAB/Simulink | Electrical design | Renewable energy | Safety standards,"NTPC, Tata Power, Reliance Power"
Electrical Engineering,Electrical Design Engineer,CAD software | Electrical schematic design | MATLAB | Power systems | Technical documentation,"Power generation, Design firms"
Electrical Engineering,Control Systems Engineer,PLC programming | SCADA systems | Control theory | Automation software | Troubleshooting,"Automation companies, Manufacturing"
Electrical Engineering,Automation Engineer,"Automation software | Industrial systems | Programming (C, Python) | Control systems | Safety protocols","Automation firms, Industries"
Electrical Engineering,Embedded Systems Engineer,"C, Python, Assembly language | Microcontroller programming | Hardware-software integration | Debugging","Semiconductors, Consumer electronics"
Electrical Engineering,Maintenance Engineer,Equipment maintenance | Troubleshooting | Safety protocols | Technical knowledge | Documentation,Maintenance contractors
Electrical Engineering,Electrical Test Engineer,Testing equipment | Circuit analysis | Troubleshooting | Documentation | Quality assurance,"Testing centers, Automotive"
Electrical Engineering,Telecommunications Engineer,Network design | Hardware management | Transmission principles | Problem-solving | Technical standards,"Telecom (Airtel, Reliance Jio)"
Electronics & Communication,Electronics Engineer,Circuit design | Signal processing | PCB design | Testing & validation | CAD software,"Consumer electronics, Telecom, Defense"
Electronics & Communication,Circuit Design Engineer,Analog/digital design | Simulation tools | SPICE | CAD | Layout design,Electronics manufacturing
Electronics & Communication,Embedded Systems Developer,Embedded programming | Microcontroller knowledge | Hardware integration | Low-level programming,Embedded systems companies
Electronics & Communication,Microelectronics Engineer,Semiconductor design | VLSI tools | Manufacturing processes | Physics | Simulation,Semiconductor industry
Electronics & Communication,Communication Systems Engineer,Signal processing | Network design | Modulation techniques | Transmission systems | Testing,"Telecom companies, Defense"
Electronics & Communication,Consumer Electronics Designer,PCB design | Embedded systems | Product testing | Quality assurance | Technical drawings,Consumer electronics manufacturers
Chemical Engineering,Process Engineer,Process design | Chemical reactions | MATLAB | Process simulation | Safety protocols,"Chemical plants, Pharmaceuticals"
Chemical Engineering,Chemical Engineer,Chemical engineering fundamentals | Process optimization | CAD | Problem-solving | Safety,"Chemical industry, Refineries"
Chemical Engineering,Product Development Engineer,Product design | Materials science | Testing & validation | Documentation | Quality control,"Pharmaceutical companies, Manufacturing"
Chemical Engineering,Safety Engineer,Safety systems | Risk assessment | Hazard analysis | Chemical regulations | Documentation,"Chemical plants, Refineries"
